[2026-03-10 16:38:24,254] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 16:40:59,776] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 16:40:59,780] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 16:52:26,447] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 16:52:26,452] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 16:52:42,299] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 16:52:53,989] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 16:52:54,004] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 16:57:06,120] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 16:57:06,143] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 16:57:34,600] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 16:57:34,610] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:00:45,631] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:00:45,636] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:00:49,833] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 17:01:07,367] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:01:07,370] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:06:00,606] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:06:00,634] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:06:04,127] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 17:06:20,502] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:06:20,522] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:06:38,206] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:06:38,218] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:06:48,673] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:06:48,676] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:07:12,498] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:07:12,501] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:07:33,596] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:07:33,599] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:09:24,759] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:09:24,764] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:09:25,952] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:09:25,974] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:09:31,106] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:09:31,108] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:09:44,833] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:09:44,859] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:10:43,035] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:10:43,055] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
